StartTime: 2021-02-25 09:32:34.857
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 09:32:34.857	0.8223	0.3481	-0.4155	0.0000	0.0000	0.0000	140.2679	-56.6400	-46.5436	23.54	-224	-92	-40
0x50	 09:32:34.857	0.8223	0.3481	-0.4155	0.0000	0.0000	0.0000	140.2679	-56.6400	-46.5436	23.54	-225	-92	-39
0x50	 09:32:34.857	0.8223	0.3481	-0.4155	0.0000	0.0000	0.0000	140.2679	-56.6400	-46.5436	23.54	-225	-92	-39
0x50	 09:32:34.861	0.8223	0.3481	-0.4155	0.0000	0.0000	0.0000	140.2679	-56.6400	-46.5436	23.54	-225	-92	-39
0x50	 09:32:34.866	0.8223	0.3477	-0.4155	0.0000	0.0000	0.0000	140.2679	-56.6400	-46.5436	23.54	-225	-92	-38
0x50	 09:32:34.871	0.8223	0.3477	-0.4155	0.0000	0.0000	0.0000	140.2679	-56.6400	-46.5381	23.54	-225	-93	-38
0x50	 09:32:34.876	0.8223	0.3477	-0.4155	0.0000	0.0000	0.0000	140.2679	-56.6400	-46.5381	23.54	-225	-94	-38
0x50	 09:32:34.881	0.8223	0.3477	-0.4155	0.0000	0.0000	0.0000	140.2625	-56.6400	-46.5326	23.54	-225	-94	-39
0x50	 09:32:34.914	0.8218	0.3477	-0.4160	0.0000	0.0000	0.0000	140.2625	-56.6400	-46.5271	23.54	-225	-94	-39
0x50	 09:32:34.914	0.8218	0.3477	-0.4160	-0.0610	0.0610	-0.1831	140.2625	-56.6400	-46.5216	23.53	-224	-95	-39
0x50	 09:32:34.914	0.8218	0.3477	-0.4160	-0.0610	0.0610	-0.1831	140.2625	-56.6345	-46.5161	23.53	-224	-95	-40
0x50	 09:32:34.914	0.8218	0.3477	-0.4160	-0.0610	0.0610	-0.1831	140.2570	-56.6345	-46.5106	23.53	-224	-94	-41
0x50	 09:32:34.914	0.8228	0.3472	-0.4160	-0.0610	0.0610	-0.1831	140.2570	-56.6345	-46.5051	23.53	-223	-93	-41
0x50	 09:32:34.914	0.8228	0.3472	-0.4160	0.0000	0.0000	-0.0610	140.2570	-56.6345	-46.4996	23.54	-222	-92	-41
0x50	 09:32:34.915	0.8228	0.3472	-0.4160	0.0000	0.0000	-0.0610	140.2570	-56.6345	-46.4996	23.54	-222	-91	-42
0x50	 09:32:34.920	0.8228	0.3472	-0.4160	0.0000	0.0000	-0.0610	140.2515	-56.6345	-46.4996	23.54	-222	-90	-42
0x50	 09:32:34.925	0.8218	0.3472	-0.4160	0.0000	0.0000	-0.0610	140.2515	-56.6345	-46.4996	23.54	-222	-90	-42
0x50	 09:32:34.930	0.8218	0.3472	-0.4160	0.1221	-0.0610	0.1221	140.2570	-56.6345	-46.4996	23.58	-222	-90	-42
0x50	 09:32:34.935	0.8218	0.3472	-0.4160	0.1221	-0.0610	0.1221	140.2570	-56.6345	-46.4996	23.58	-221	-91	-41
0x50	 09:32:34.940	0.8218	0.3472	-0.4160	0.1221	-0.0610	0.1221	140.2570	-56.6345	-46.4996	23.58	-221	-91	-41
0x50	 09:32:34.945	0.8213	0.3486	-0.4146	0.1221	-0.0610	0.1221	140.2570	-56.6345	-46.4996	23.58	-222	-91	-40
0x50	 09:32:34.950	0.8213	0.3486	-0.4146	0.0000	0.0000	0.0000	140.2570	-56.6345	-46.4996	23.57	-223	-91	-40
0x50	 09:32:34.955	0.8213	0.3486	-0.4146	0.0000	0.0000	0.0000	140.2570	-56.6345	-46.4996	23.57	-223	-91	-40
0x50	 09:32:34.960	0.8213	0.3486	-0.4146	0.0000	0.0000	0.0000	140.2570	-56.6345	-46.4996	23.57	-223	-90	-40
0x50	 09:32:34.965	0.8228	0.3472	-0.4160	0.0000	0.0000	0.0000	140.2570	-56.6345	-46.4941	23.57	-223	-91	-39
0x50	 09:32:34.970	0.8228	0.3472	-0.4160	0.0000	0.0000	0.0000	140.2570	-56.6345	-46.4941	23.57	-223	-92	-39
