StartTime: 2021-03-01 16:55:51.945
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 16:55:51.945	 2021-03-01 16:55:51.690	-0.1636	-0.1489	1.0049	0.0000	0.0000	0.0000	-8.4375	9.1626	-146.2885	35.89	-132	-202	-135
0x50	 16:55:51.945	 2021-03-01 16:55:51.695	-0.1636	-0.1489	1.0049	0.0000	0.0000	0.0000	-8.4375	9.1626	-146.2885	35.89	-132	-203	-136
0x50	 16:55:51.945	 2021-03-01 16:55:51.700	-0.1641	-0.1494	1.0044	0.0000	0.0000	0.0000	-8.4375	9.1626	-146.2885	35.84	-131	-202	-136
0x50	 16:55:51.947	 2021-03-01 16:55:51.705	-0.1641	-0.1494	1.0044	0.0000	0.0000	0.0000	-8.4375	9.1626	-146.2885	35.84	-130	-201	-136
0x50	 16:55:51.952	 2021-03-01 16:55:51.710	-0.1641	-0.1494	1.0044	0.0000	0.0000	0.0000	-8.4375	9.1626	-146.2939	35.84	-129	-202	-136
0x50	 16:55:51.957	 2021-03-01 16:55:51.715	-0.1641	-0.1494	1.0044	0.0000	0.0000	0.0000	-8.4375	9.1626	-146.2939	35.84	-128	-202	-136
0x50	 16:55:51.961	 2021-03-01 16:55:51.720	-0.1650	-0.1509	1.0044	0.0000	0.0000	0.0000	-8.4375	9.1626	-146.2939	35.89	-128	-202	-136
0x50	 16:55:51.966	 2021-03-01 16:55:51.725	-0.1650	-0.1509	1.0044	0.0000	0.0000	0.0000	-8.4375	9.1626	-146.2994	35.89	-127	-201	-136
0x50	 16:55:51.971	 2021-03-01 16:55:51.730	-0.1650	-0.1509	1.0044	0.0000	0.0000	0.0000	-8.4375	9.1626	-146.2994	35.89	-128	-202	-137
0x50	 16:55:51.976	 2021-03-01 16:55:51.735	-0.1650	-0.1509	1.0044	0.0000	0.0000	0.0000	-8.4375	9.1626	-146.2994	35.89	-128	-202	-138
0x50	 16:55:51.981	 2021-03-01 16:55:51.740	-0.1655	-0.1509	1.0039	0.0000	0.0000	0.0000	-8.4375	9.1626	-146.3049	35.89	-129	-202	-139
0x50	 16:55:51.986	 2021-03-01 16:55:51.745	-0.1655	-0.1509	1.0039	0.0000	0.0000	0.0000	-8.4430	9.1626	-146.3049	35.89	-129	-202	-139
0x50	 16:55:51.991	 2021-03-01 16:55:51.750	-0.1655	-0.1509	1.0039	0.0000	0.0000	0.0000	-8.4430	9.1681	-146.3049	35.89	-130	-201	-139
0x50	 16:55:51.996	 2021-03-01 16:55:51.755	-0.1655	-0.1509	1.0039	0.0000	0.0000	0.0000	-8.4430	9.1681	-146.3049	35.89	-130	-201	-140
