StartTime: 2021-06-15 16:43:48.483
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	q0	q1	q2	q3
0x51	 16:43:48.483	0.2505	-0.0200	0.9839	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8590	35.96	-667	-161	-119	0.60400	-0.10419	-0.06799	-0.78720
0x51	 16:43:48.483	0.2505	-0.0200	0.9839	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8590	35.96	-667	-161	-119	0.60400	-0.10419	-0.06799	-0.78720
0x51	 16:43:48.483	0.2505	-0.0200	0.9839	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8590	35.96	-667	-161	-120	0.60400	-0.10419	-0.06799	-0.78720
0x51	 16:43:48.486	0.2505	-0.0200	0.9839	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8590	35.96	-667	-162	-120	0.60400	-0.10419	-0.06799	-0.78720
0x51	 16:43:48.489	0.2510	-0.0195	0.9834	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8590	35.99	-667	-161	-120	0.60400	-0.10419	-0.06799	-0.78720
0x51	 16:43:48.495	0.2510	-0.0195	0.9834	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8590	35.99	-667	-160	-120	0.60400	-0.10419	-0.06799	-0.78717
0x51	 16:43:48.501	0.2510	-0.0195	0.9834	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8590	35.99	-667	-160	-119	0.60400	-0.10419	-0.06799	-0.78717
0x51	 16:43:48.504	0.2510	-0.0195	0.9834	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8590	35.99	-667	-160	-119	0.60400	-0.10419	-0.06799	-0.78717
0x51	 16:43:48.509	0.2505	-0.0190	0.9849	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8590	35.96	-667	-161	-119	0.60400	-0.10419	-0.06799	-0.78717
0x51	 16:43:48.515	0.2505	-0.0190	0.9849	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8590	35.96	-668	-161	-118	0.60400	-0.10419	-0.06799	-0.78717
0x51	 16:43:48.521	0.2505	-0.0190	0.9849	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8590	35.96	-668	-160	-118	0.60400	-0.10419	-0.06799	-0.78717
0x51	 16:43:48.524	0.2505	-0.0190	0.9849	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8590	35.96	-669	-160	-117	0.60400	-0.10419	-0.06799	-0.78717
0x51	 16:43:48.530	0.2500	-0.0200	0.9844	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8590	35.95	-669	-159	-118	0.60403	-0.10419	-0.06799	-0.78717
0x51	 16:43:48.536	0.2500	-0.0200	0.9844	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8590	35.95	-669	-159	-119	0.60403	-0.10419	-0.06799	-0.78717
0x51	 16:43:48.541	0.2500	-0.0200	0.9844	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8535	35.95	-669	-160	-119	0.60403	-0.10419	-0.06799	-0.78717
0x51	 16:43:48.544	0.2500	-0.0200	0.9844	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8535	35.95	-669	-161	-120	0.60403	-0.10419	-0.06799	-0.78717
0x51	 16:43:48.550	0.2495	-0.0195	0.9858	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8535	35.96	-669	-161	-121	0.60403	-0.10419	-0.06799	-0.78717
0x51	 16:43:48.556	0.2495	-0.0195	0.9858	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8535	35.96	-669	-162	-121	0.60403	-0.10419	-0.06799	-0.78717
0x51	 16:43:48.559	0.2495	-0.0195	0.9858	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8535	35.96	-669	-163	-122	0.60403	-0.10419	-0.06799	-0.78717
0x51	 16:43:48.564	0.2495	-0.0195	0.9858	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8535	35.96	-670	-163	-122	0.60403	-0.10419	-0.06799	-0.78717
0x51	 16:43:48.570	0.2495	-0.0195	0.9858	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8535	35.96	-670	-163	-122	0.60403	-0.10419	-0.06799	-0.78717
0x51	 16:43:48.576	0.2500	-0.0186	0.9849	0.0000	0.0000	0.0000	-1.1096	-14.2493	-104.8535	35.97	-670	-162	-121	0.60403	-0.10419	-0.06799	-0.78717
