StartTime: 2021-03-18 16:38:45.013
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	D0	D1	D2	D3	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP 
	 16:38:44.711	 	-0.0020	0.4048	0.9775	-108.3984	32.8369	20.7520	22.4890	0.1044	143.4045	34.1400	623	-1045	-335																			
	 16:38:44.711	 	0.0479	0.3120	1.0376	-21.7285	4.8218	4.6997	19.0668	1.3184	145.6897	34.1800	640	-1041	-311																			
	 16:38:44.711	 	0.0610	0.4009	1.0317	59.6924	-91.1255	-33.6304	22.2473	-1.4008	142.3938	34.1800	632	-1040	-332																			
	 16:38:44.711	 	0.2188	0.5435	0.8667	28.3203	-78.3081	7.2021	27.9053	-8.4485	139.1199	34.2100	554	-1074	-398																			
	 16:38:44.711	 	0.2305	0.5317	0.9004	72.3267	-104.7974	8.9722	33.0963	-13.1287	134.2365	34.2300	474	-1101	-452																			
	 16:38:44.711	 	0.1313	0.6421	0.6831	46.3867	-55.7861	-88.0127	38.8367	-18.3472	127.5842	34.2100	353	-1140	-508																			
	 16:38:44.711	 	0.2344	0.6914	0.6206	-5.8594	-18.6157	-35.4614	42.8851	-18.1000	120.7947	34.2300	296	-1124	-543																			
	 16:38:44.711	 	0.1958	0.5522	0.7627	7.3242	110.2905	39.0625	42.9730	-14.3097	124.2938	34.2200	327	-1120	-524																			
	 16:38:44.711	 	0.5005	0.5796	0.7749	-167.7246	-12.8174	125.4272	35.3760	-17.8363	133.0719	34.2300	317	-1136	-502																			
	 16:38:44.711	 	0.3486	-0.0264	0.9116	-469.3604	-84.0454	143.6157	1.0931	-25.1807	139.5264	34.2500	197	-885	-648																			
	 16:38:44.711	 	0.3433	-0.3037	0.7651	-399.5361	1.6479	68.1152	-45.3461	-29.4324	153.6273	34.2500	94	-365	-654																			
	 16:38:44.711	 	0.4658	-0.7427	0.0581	-97.1069	-58.2275	-2.8687	-71.3123	-32.2009	155.2148	34.2100	87	48	-440																			
	 16:38:44.711	 	0.4414	-0.9888	-0.0098	365.9058	-735.1074	178.3447	-80.3375	-28.3392	-172.2656	34.2200	-31	87	-503																			
	 16:38:44.711	 	0.4736	-1.1260	0.2051	79.8950	-72.4487	109.8022	-79.8596	-14.7821	-127.9688	34.2200	-441	-149	-663																			
	 16:38:44.711	 	0.0376	-0.8672	0.4692	164.3677	-130.1270	154.4800	-67.9010	-2.6257	-109.4897	34.2500	-595	-250	-679																			
	 16:38:44.711	 	-0.1025	-0.6821	0.7881	455.6274	-1.7700	-48.5229	-43.5333	5.6030	-94.6143	34.2600	-697	-417	-693																			
	 16:38:44.711	 	0.0459	-0.6313	0.8999	-16.2964	-214.9658	67.1387	-32.9425	0.5768	-89.1870	34.2300	-819	-616	-669																			
	 16:38:44.711	 	0.2183	-0.6235	0.6992	12.5122	-153.6255	37.1704	-34.3213	-11.2885	-80.7001	34.2500	-1017	-610	-524																			
	 16:38:44.711	 	0.1699	-0.6348	0.6265	-85.9985	-107.4219	0.8545	-38.8367	-9.6130	-75.3662	34.2100	-1103	-520	-453																			
	 16:38:44.711	 	0.2334	-0.6543	0.6973	32.6538	11.9019	-9.0942	-42.2260	-13.4033	-72.2681	34.2200	-1140	-435	-372																			
	 16:38:44.711	 	0.2417	-0.6143	0.7754	7.2632	-82.0923	-44.4336	-37.5238	-13.3649	-76.9482	34.2600	-1142	-477	-384																			
	 16:38:44.711	 	0.4580	-0.6826	0.7192	1.5869	-118.0420	-63.4155	-41.6876	-27.1417	-75.6464	34.2100	-1221	-548	-246																			
	 16:38:44.711	 	0.4404	-0.5547	0.6304	3.0518	21.6064	5.1270	-38.4467	-28.0920	-79.0961	34.2400	-1240	-607	-192																			
	 16:38:44.711	 	0.4663	-0.5981	0.5996	-17.5171	-34.7290	41.2598	-40.4297	-28.1854	-78.2501	34.2800	-1247	-599	-172																			
	 16:38:44.711	 	0.4512	-0.6074	0.6675	-7.7515	6.6528	38.0859	-43.4509	-27.2736	-76.2781	34.2500	-1263	-544	-139																			
	 16:38:44.711	 	0.3892	-0.6050	0.6426	-6.3477	2.2583	14.1602	-42.7808	-23.8623	-78.1238	34.2800	-1250	-495	-155																			
	 16:38:44.711	 	0.2939	-0.6187	0.7031	51.7578	35.4004	2.0752	-39.3970	-19.0118	-81.2164	34.2800	-1232	-465	-235																			
	 16:38:44.711	 	0.2788	-0.5410	0.7466	14.7095	-4.2114	-60.4248	-36.9470	-21.1377	-85.4297	34.2800	-1240	-502	-261																			
	 16:38:44.711	 	0.3735	-0.5938	0.7769	-27.1606	-37.9028	-6.1035	-38.0566	-24.3347	-88.1927	34.2800	-1263	-563	-231																			
	 16:38:44.711	 	0.3530	-0.6094	0.7559	5.9814	19.3481	53.8330	-38.3588	-20.6927	-86.8469	34.2500	-1251	-530	-228																			
	 16:38:44.711	 	0.3774	-0.5967	0.7285	32.2266	6.5918	13.3057	-40.1990	-21.4178	-85.4681	34.2900	-1247	-494	-222																			
	 16:38:44.711	 	0.3213	-0.6050	0.7856	1.5869	-6.8359	13.9771	-38.2379	-20.2753	-86.1108	34.3000	-1252	-492	-231																			
	 16:38:44.711	 	0.3887	-0.7026	0.7710	-20.6909	-23.9868	27.7100	-40.0452	-20.1819	-85.0562	34.2500	-1257	-459	-219																			
	 16:38:44.711	 	0.7217	-0.8955	0.7290	-15.4419	104.6143	222.2900	-46.9611	-16.6113	-80.9143	34.2800	-1226	-354	-183																			
	 16:38:44.711	 	-0.2388	-0.4312	0.6499	-8.6060	18.4937	79.8950	-47.4335	-6.0150	-75.8441	34.3000	-1070	-160	-160																			
	 16:38:44.711	 	-0.1396	-0.7681	0.7695	-69.6411	52.1851	35.5225	-49.4165	5.0153	-83.2104	34.2800	-980	-55	-240																			
	 16:38:44.711	 	-0.3091	-0.8843	0.5464	-70.6177	-20.3247	-5.3101	-59.6997	6.2292	-90.4944	34.3100	-1008	29	-267																			
	 16:38:44.711	 	-0.1348	-0.9575	0.3833	-231.9946	-139.4043	54.1992	-74.3445	4.9219	-83.8257	34.2800	-985	103	-54																			
	 16:38:44.711	 	-0.0928	-1.0234	-0.2236	-233.0933	1.0986	6.2866	-97.7783	6.4325	-78.5797	34.2800	-876	128	323																			
	 16:38:44.711	 	-0.1631	-0.7969	-0.4033	-121.7041	-74.8901	36.9873	-112.9449	9.6515	-77.0801	34.2900	-784	62	538																			
	 16:38:44.711	 	-0.2432	-0.6831	-0.4800	-55.1758	11.2305	-4.6997	-124.9915	14.5789	-73.6029	34.2100	-682	-33	725																			
	 16:38:44.711	 	-0.2456	-0.7461	-0.5957	-10.8032	49.5605	20.6299	-132.8137	14.3152	-73.6853	34.2600	-662	-131	799																			
	 16:38:44.711	 	-0.1035	-0.5830	-0.8271	-12.4512	-26.3062	-8.9111	-132.7972	12.1344	-76.3110	34.2700	-700	-121	759																			
