StartTime: 2021-03-01 16:17:10.151
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	D0	D1	D2	D3	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP 
	16:17:09.777	2021-03-01 15:39:23.050																																
	16:17:09.778	2021-03-01 15:39:23.055	-0.1484	-0.1318	1.0083	0.0000	0.0000	0.0000	-7.4213	8.3386	-125.7111	33.3300	-186	-131	-158																			
	16:17:09.778	2021-03-01 15:39:23.060	-0.1484	-0.1318	1.0083	0.0000	0.0000	0.0000	-7.4213	8.3386	-125.7166	33.3300	-186	-131	-158																			
	16:17:09.778	2021-03-01 15:39:23.065	-0.1484	-0.1318	1.0083	0.0000	0.0000	0.0000	-7.4213	8.3386	-125.7166	33.3300	-186	-131	-157																			
	16:17:09.778	2021-03-01 15:39:23.070	-0.1489	-0.1309	1.0088	0.0610	0.0000	0.0000	-7.4213	8.3386	-125.7166	33.3300	-186	-131	-156																			
	16:17:09.778	2021-03-01 15:39:23.075	-0.1489	-0.1309	1.0088	0.0610	0.0000	0.0000	-7.4213	8.3386	-125.7220	33.3300	-185	-131	-156																			
	16:17:09.778	2021-03-01 15:39:23.080	-0.1489	-0.1309	1.0088	0.0610	0.0000	0.0000	-7.4213	8.3386	-125.7220	33.3300	-185	-132	-156																			
	16:17:09.778	2021-03-01 15:39:23.085	-0.1489	-0.1309	1.0088	0.0610	0.0000	0.0000	-7.4213	8.3386	-125.7275	33.3300	-185	-132	-156																			
	16:17:09.778	2021-03-01 15:39:23.090	-0.1499	-0.1313	1.0088	0.0610	0.0000	0.0000	-7.4213	8.3386	-125.7275	33.2800	-185	-133	-156																			
	16:17:09.778	2021-03-01 15:39:23.095	-0.1499	-0.1313	1.0088	0.0610	0.0000	0.0000	-7.4213	8.3386	-125.7330	33.2800	-185	-132	-156																			
	16:17:09.778	2021-03-01 15:39:23.100	-0.1499	-0.1313	1.0088	0.0610	0.0000	0.0000	-7.4213	8.3386	-125.7330	33.2800	-185	-132	-156																			
	16:17:09.778	2021-03-01 15:39:23.105	-0.1499	-0.1313	1.0088	0.0610	0.0000	0.0000	-7.4213	8.3386	-125.7385	33.2800	-185	-131	-156																			
	16:17:09.778	2021-03-01 15:39:23.110	-0.1504	-0.1313	1.0078	0.0610	0.0000	0.0000	-7.4213	8.3386	-125.7385	33.2900	-185	-130	-156																			
	16:17:09.778	2021-03-01 15:39:23.115	-0.1504	-0.1313	1.0078	0.0610	0.0000	0.0000	-7.4213	8.3386	-125.7385	33.2900	-186	-130	-156																			
	16:17:09.778	2021-03-01 15:39:23.120	-0.1504	-0.1313	1.0078	0.0610	0.0000	0.0000	-7.4213	8.3386	-125.7440	33.2900	-187	-131	-157																			
	16:17:09.778	2021-03-01 15:39:23.125	-0.1504	-0.1313	1.0078	0.0610	0.0000	0.0000	-7.4213	8.3386	-125.7440	33.2900	-188	-132	-157																			
	16:17:09.778	2021-03-01 15:39:23.130	-0.1504	-0.1313	1.0073	0.1221	0.0000	0.0000	-7.4213	8.3441	-125.7440	33.2800	-188	-131	-157																			
	16:17:09.779	2021-03-01 15:39:23.135	-0.1504	-0.1313	1.0073	0.1221	0.0000	0.0000	-7.4158	8.3441	-125.7440	33.2800	-188	-131	-157																			
	16:17:09.779	2021-03-01 15:39:23.140	-0.1504	-0.1313	1.0073	0.1221	0.0000	0.0000	-7.4158	8.3441	-125.7495	33.2800	-187	-132	-157																			
	16:17:09.779	2021-03-01 15:39:23.145	-0.1504	-0.1313	1.0073	0.1221	0.0000	0.0000	-7.4158	8.3441	-125.7495	33.2800	-187	-132	-156																			
	16:17:09.779	2021-03-01 15:39:23.150	-0.1499	-0.1323	1.0078	0.0610	0.0000	0.0000	-7.4158	8.3441	-125.7495	33.3000	-187	-130	-156																			
	16:17:09.779	2021-03-01 15:39:23.155	-0.1499	-0.1323	1.0078	0.0610	0.0000	0.0000	-7.4158	8.3441	-125.7495	33.3000	-188	-129	-156																			
	16:17:09.779	2021-03-01 15:39:23.160	-0.1499	-0.1323	1.0078	0.0610	0.0000	0.0000	-7.4158	8.3441	-125.7495	33.3000	-188	-130	-156																			
	16:17:09.779	2021-03-01 15:39:23.165	-0.1499	-0.1323	1.0078	0.0610	0.0000	0.0000	-7.4158	8.3441	-125.7495	33.3000	-188	-130	-156																			
	16:17:09.779	2021-03-01 15:39:23.170	-0.1499	-0.1333	1.0073	0.0610	0.0000	0.0000	-7.4158	8.3441	-125.7495	33.3500	-188	-130	-156																			
	16:17:09.779	2021-03-01 15:39:23.175	-0.1499	-0.1333	1.0073	0.0610	0.0000	0.0000	-7.4158	8.3441	-125.7495	33.3500	-189	-131	-155																			
	16:17:09.779	2021-03-01 15:39:23.180	-0.1499	-0.1333	1.0073	0.0610	0.0000	0.0000	-7.4158	8.3441	-125.7550	33.3500	-189	-132	-156																			
	16:17:09.779	2021-03-01 15:39:23.185	-0.1499	-0.1333	1.0073	0.0610	0.0000	0.0000	-7.4158	8.3441	-125.7550	33.3500	-189	-133	-156																			
	16:17:09.779	2021-03-01 15:39:23.190	-0.1494	-0.1328	1.0088	0.0610	-0.0610	0.0000	-7.4158	8.3441	-125.7550	33.3000	-190	-133	-156																			
	16:17:09.779	2021-03-01 15:39:23.195	-0.1494	-0.1328	1.0088	0.0610	-0.0610	0.0000	-7.4158	8.3441	-125.7550	33.3000	-191	-133	-156																			
	16:17:09.779	2021-03-01 15:39:23.200	-0.1494	-0.1328	1.0088	0.0610	-0.0610	0.0000	-7.4158	8.3441	-125.7550	33.3000	-191	-132	-156																			
	16:17:09.779	2021-03-01 15:39:23.205	-0.1494	-0.1328	1.0088	0.0610	-0.0610	0.0000	-7.4158	8.3441	-125.7550	33.3000	-191	-131	-156																			
	16:17:09.779	2021-03-01 15:39:23.210	-0.1484	-0.1328	1.0083	0.0000	0.0000	0.0000	-7.4158	8.3441	-125.7550	33.3400	-191	-131	-157																			
	16:17:09.779	2021-03-01 15:39:23.215	-0.1484	-0.1328	1.0083	0.0000	0.0000	0.0000	-7.4158	8.3441	-125.7550	33.3400	-191	-130	-157																			
	16:17:09.779	2021-03-01 15:39:23.220	-0.1484	-0.1328	1.0083	0.0000	0.0000	0.0000	-7.4158	8.3441	-125.7550	33.3400	-190	-131	-157																			
	16:17:09.779	2021-03-01 15:39:23.225	-0.1484	-0.1328	1.0083	0.0000	0.0000	0.0000	-7.4158	8.3441	-125.7605	33.3400	-190	-133	-157																			
	16:17:09.779	2021-03-01 15:39:23.230	-0.1494	-0.1323	1.0078	0.0000	0.0000	0.0000	-7.4158	8.3441	-125.7605	33.3200	-190	-132	-158																			
	16:17:09.779	2021-03-01 15:39:23.235	-0.1494	-0.1323	1.0078	0.0000	0.0000	0.0000	-7.4158	8.3441	-125.7605	33.3200	-190	-131	-158																			
	16:17:09.779	2021-03-01 15:39:23.240	-0.1494	-0.1323	1.0078	0.0000	0.0000	0.0000	-7.4158	8.3441	-125.7605	33.3200	-189	-131	-158																			
	16:17:09.779	2021-03-01 15:39:23.245	-0.1494	-0.1323	1.0078	0.0000	0.0000	0.0000	-7.4158	8.3441	-125.7605	33.3200	-188	-131	-159																			
	16:17:09.779	2021-03-01 15:39:23.250	-0.1494	-0.1313	1.0088	0.0000	0.0000	0.0000	-7.4158	8.3441	-125.7605	33.3300	-188	-131	-159																			
	16:17:09.779	2021-03-01 15:39:23.255	-0.1494	-0.1313	1.0088	0.0000	0.0000	0.0000	-7.4158	8.3441	-125.7605	33.3300	-188	-131	-159																			
	16:17:09.779	2021-03-01 15:39:23.260	-0.1494	-0.1313	1.0088	0.0000	0.0000	0.0000	-7.4158	8.3441	-125.7660	33.3300	-188	-131	-159																			
	16:17:09.779	2021-03-01 15:39:23.265	-0.1494	-0.1313	1.0088	0.0000	0.0000	0.0000	-7.4158	8.3441	-125.7660	33.3300	-188	-130	-159																			
	16:17:09.779	2021-03-01 15:39:23.270	-0.1494	-0.1313	1.0078	0.0000	0.0000	0.0000	-7.4158	8.3441	-125.7660	33.2900	-188	-131	-158																			
	16:17:09.779	2021-03-01 15:39:23.275	-0.1494	-0.1313	1.0078	0.0000	0.0000	0.0000	-7.4158	8.3441	-125.7660	33.2900	-188	-131	-158																			
	16:17:09.779	2021-03-01 15:39:23.280	-0.1494	-0.1313	1.0078	0.0000	0.0000	0.0000	-7.4158	8.3441	-125.7660	33.2900	-189	-131	-158																			
	16:17:09.779	2021-03-01 15:39:23.285	-0.1494	-0.1313	1.0078	0.0000	0.0000	0.0000	-7.4158	8.3441	-125.7660	33.2900	-189	-131	-158																			
	16:17:09.779	2021-03-01 15:39:23.290	-0.1489	-0.1313	1.0078	0.1221	0.0000	0.0000	-7.4158	8.3441	-125.7660	33.3000	-188	-130	-158																			
	16:17:09.779	2021-03-01 15:39:23.295	-0.1489	-0.1313	1.0078	0.1221	0.0000	0.0000	-7.4158	8.3441	-125.7660	33.3000	-188	-130	-157																			
	16:17:09.779	2021-03-01 15:39:23.300	-0.1489	-0.1313	1.0078	0.1221	0.0000	0.0000	-7.4158	8.3441	-125.7660	33.3000	-188	-130	-156																			
	16:17:09.779	2021-03-01 15:39:23.305	-0.1489	-0.1313	1.0078	0.0000	0.0000	0.0000	-7.4158	8.3441	-125.7660	33.3000	-187	-129	-156																			
